iteration,scale_type,d_value
41,True Scale,0.8527613770888297
42,Coded (1-5),0.8250449916580281
42,True Scale,0.596168752502471
43,Coded (1-5),0.7755301240864968
43,True Scale,0.596617286517851
44,Coded (1-5),0.8408357824404302
44,True Scale,0.7353779991728849
45,Coded (1-5),0.9720234442619017
45,True Scale,0.684769910475267
46,Coded (1-5),0.7887425458445726
46,True Scale,0.6042652164637151
47,Coded (1-5),0.9751789317337394
47,True Scale,0.706559851695471
48,Coded (1-5),0.6951832910098865
48,True Scale,0.6246289648812434
49,Coded (1-5),1.0424896632923757
49,True Scale,0.741035961536138
50,Coded (1-5),0.9564343638988025
50,True Scale,0.6964112050357597
51,Coded (1-5),0.9026749355473194
51,True Scale,0.7641418905698403
52,Coded (1-5),1.208894211810311
52,True Scale,0.9134378683091711
53,Coded (1-5),0.8094866771264064
53,True Scale,0.6681386683661578
54,Coded (1-5),1.024469426668071
54,True Scale,0.8740969652571187
55,Coded (1-5),1.131415604919377
55,True Scale,0.9780750660492585
56,Coded (1-5),0.7877798010392072
56,True Scale,0.5461184934103267
57,Coded (1-5),0.8434215193032338
57,True Scale,0.622074130787117
58,Coded (1-5),0.9477563382767465
58,True Scale,0.7221174647980816
59,Coded (1-5),0.781276790497787
59,True Scale,0.6211041946163918
60,Coded (1-5),0.9660205450594123
60,True Scale,0.7203766245264294
61,Coded (1-5),0.8007703455516785
61,True Scale,0.514075868308102
62,Coded (1-5),0.5366993482250494
62,True Scale,0.3411356031018829
63,Coded (1-5),1.002853072844814
63,True Scale,0.8655948645835048
64,Coded (1-5),1.1415022343682975
64,True Scale,1.0179666131322591
65,Coded (1-5),0.8748097643820731
65,True Scale,0.6226717424743679
66,Coded (1-5),0.9171654957442801
66,True Scale,0.625554322140768
67,Coded (1-5),0.8748893129443022
67,True Scale,0.5928406912165981
68,Coded (1-5),1.0817556123622336
68,True Scale,0.8448842049830563
69,Coded (1-5),0.9458215017924955
69,True Scale,0.6918052670309641
70,Coded (1-5),0.7506186623724865
70,True Scale,0.6301345790772125
71,Coded (1-5),0.9605540032320821
71,True Scale,0.7086471161380202
72,Coded (1-5),0.8665247992087424
72,True Scale,0.7450871251000933
73,Coded (1-5),0.8817521823022411
73,True Scale,0.7019657270396422
74,Coded (1-5),1.0008231905903906
74,True Scale,0.8054590101355728
75,Coded (1-5),0.7054812462061373
75,True Scale,0.593810088486674
76,Coded (1-5),0.8482095610516658
76,True Scale,0.5686292470312252
77,Coded (1-5),0.9928812833286667
77,True Scale,0.692070298716166
78,Coded (1-5),0.8174614248954064
78,True Scale,0.6879161401810615
79,Coded (1-5),0.9815461840343552
79,True Scale,0.695071753495154
80,Coded (1-5),0.9217943047034355
80,True Scale,0.5518614603984556
81,Coded (1-5),0.9160281580897431
81,True Scale,0.8214736714526377
82,Coded (1-5),0.7149070926399914
82,True Scale,0.6131785945328447
83,Coded (1-5),1.1309953763787677
83,True Scale,0.8796461313379734
84,Coded (1-5),1.1789474806241258
84,True Scale,0.9279139777451902
85,Coded (1-5),0.7982491923628012
85,True Scale,0.6467049624685561
86,Coded (1-5),0.87441816019095
86,True Scale,0.5467337027699912
87,Coded (1-5),0.9317549438964627
87,True Scale,0.6819739293794898
88,Coded (1-5),1.0708211391337765
88,True Scale,0.8272799417346788
89,Coded (1-5),0.5832025059725143
89,True Scale,0.42858520738516376
90,Coded (1-5),1.2632619742990643
90,True Scale,0.9023761659392263
91,Coded (1-5),0.8459760362019362
91,True Scale,0.6098656541707351
92,Coded (1-5),1.0118767373117867
92,True Scale,0.8272219146041792
93,Coded (1-5),0.8861925593215413
93,True Scale,0.6948025035514478
94,Coded (1-5),0.9285582215219963
94,True Scale,0.7560882576396618
95,Coded (1-5),0.8299989441875509
95,True Scale,0.6382351954898845
96,Coded (1-5),0.6495998833490776
96,True Scale,0.47070492829147287
97,Coded (1-5),0.7493543040703334
97,True Scale,0.5502216164421244
98,Coded (1-5),1.107748072053463
98,True Scale,0.794678707589902
99,Coded (1-5),0.6411814429916061
99,True Scale,0.40004947299061805
100,Coded (1-5),0.8568792315963327
100,True Scale,0.6470658764765194
101,Coded (1-5),0.7484086209535041
101,True Scale,0.4086091924372829
102,Coded (1-5),1.0343177972107054
102,True Scale,0.8598734220992773
103,Coded (1-5),0.8500078713923205
103,True Scale,0.7206407989631949
104,Coded (1-5),0.7785094840599516
104,True Scale,0.6307812745442382
105,Coded (1-5),0.6556938941710138
105,True Scale,0.45205715288362325
106,Coded (1-5),0.9751789317337394
106,True Scale,0.618199595937791
107,Coded (1-5),0.8823186009782625
107,True Scale,0.6457199307713405
108,Coded (1-5),0.8249707711112199
108,True Scale,0.530962705667526
109,Coded (1-5),0.9110692789878706
109,True Scale,0.7436840491631135
110,Coded (1-5),0.6115793780321304
110,True Scale,0.4434199405610043
111,Coded (1-5),0.6058062007147332
111,True Scale,0.47238620678802334
112,Coded (1-5),0.72404021589566
112,True Scale,0.6789303963876409
113,Coded (1-5),0.6026768994091308
113,True Scale,0.37511861831655163
114,Coded (1-5),0.7528611331528283
114,True Scale,0.5686980977295076
115,Coded (1-5),0.9527621706780023
115,True Scale,0.6905174430305248
116,Coded (1-5),1.1219935420675902
116,True Scale,0.8376230409390132
117,Coded (1-5),1.1025309374730063
117,True Scale,0.7954475840646414
118,Coded (1-5),0.5414780564971482
118,True Scale,0.4512336410034629
119,Coded (1-5),1.1901889852417014
119,True Scale,0.8324529483294034
120,Coded (1-5),0.8101047642919164
120,True Scale,0.5672876796237882
121,Coded (1-5),0.9583551782916723
121,True Scale,0.6777395030000143
122,Coded (1-5),0.9550598533987031
122,True Scale,0.6801227577464448
123,Coded (1-5),0.8111784946070977
123,True Scale,0.5719186061768486
124,Coded (1-5),0.7889395279939472
124,True Scale,0.7695449265393471
125,Coded (1-5),0.8592946877481925
125,True Scale,0.6176654716751069
126,Coded (1-5),0.638938691054396
126,True Scale,0.5744588957604952
127,Coded (1-5),0.9233743977011812
127,True Scale,0.6780220038669366
128,Coded (1-5),1.11785508899857
128,True Scale,0.9949898544943111
129,Coded (1-5),0.9741056355125863
129,True Scale,0.727331520741614
130,Coded (1-5),0.8779186128303091
130,True Scale,0.5145588737451656
131,Coded (1-5),0.8737730769510638
131,True Scale,0.6436039554279842
132,Coded (1-5),0.8561314763989653
132,True Scale,0.6720554168348937
133,Coded (1-5),0.6017974003430844
133,True Scale,0.33303843356696194
134,Coded (1-5),0.6430100862329738
134,True Scale,0.4956238138330264
135,Coded (1-5),0.670796460593505
135,True Scale,0.5198059141856828
136,Coded (1-5),0.8218408324522255
136,True Scale,0.572053159500285
137,Coded (1-5),1.0895826564059843
137,True Scale,0.7027443160828121
138,Coded (1-5),0.7102136447010046
138,True Scale,0.6493527253453446
139,Coded (1-5),0.851141510457605
139,True Scale,0.59281109973217
140,Coded (1-5),1.1120449320161
140,True Scale,1.0056278904770302
141,Coded (1-5),0.8064049958557056
141,True Scale,0.5686605250611437
142,Coded (1-5),0.8416476355769065
142,True Scale,0.6719952284699952
143,Coded (1-5),0.8383874722872817
143,True Scale,0.6163397670219981
144,Coded (1-5),1.0816428091455301
144,True Scale,0.8099011295641851
145,Coded (1-5),1.1121887510773911
145,True Scale,0.821335555084471
146,Coded (1-5),0.8153491208445529
146,True Scale,0.6645649137794594
147,Coded (1-5),1.0433682504163173
147,True Scale,0.8771401167034246
148,Coded (1-5),0.7045597876561097
148,True Scale,0.5634072816380296
149,Coded (1-5),0.5966196914113508
149,True Scale,0.5854878060666068
150,Coded (1-5),0.91413946790539
150,True Scale,0.5886390834657997
151,Coded (1-5),0.7628737564186622
151,True Scale,0.6872713254840807
152,Coded (1-5),1.1541241782205167
152,True Scale,0.9551393597533888
153,Coded (1-5),0.7275648156925005
153,True Scale,0.4835511689018255
154,Coded (1-5),0.7851619477445121
154,True Scale,0.5522380545759354
155,Coded (1-5),0.864703073120969
155,True Scale,0.6598347741878349
156,Coded (1-5),0.7517962048876606
156,True Scale,0.5298008420467961
157,Coded (1-5),1.0726067168372428
157,True Scale,0.88765410647823
158,Coded (1-5),0.7310706506041665
158,True Scale,0.4692014841728236
159,Coded (1-5),0.9052069550422898
159,True Scale,0.924254220540141
160,Coded (1-5),0.9377689088020512
160,True Scale,0.7625912987243652
161,Coded (1-5),0.892734659348004
161,True Scale,0.8221217408901657
162,Coded (1-5),0.6925991128502592
162,True Scale,0.470179448630233
